X,Y,FID,Location,Date,Work_Order
-8477616.44599754,5315160.31449693,58,Elmhurst Ave. & Hunt Ave.,2021/03/02 00:00:00+00,Main Break/Leak
-8472731.97945596,5323350.86425699,59,401 Fobes Ave.,2021/03/08 00:00:00+00,Main Break/Leak
-8471869.5045003,5319924.90306362,60,204 Seeley Rd.,2021/03/08 00:00:00+00,Main Break/Leak
-8471055.5290597,5320236.09185681,61,2700 Erie Blvd E.,2021/03/09 00:00:00+00,Main Break/Leak
-8477429.54651711,5319376.13837877,62,225 W. Fayette St.,2021/03/09 00:00:00+00,Main Break/Leak
-8478844.84709505,5319443.0227705,63,529 Tracy St.,2021/03/10 00:00:00+00,Main Break/Leak
-8477429.54651711,5319376.13837877,64,225 W. Fayette St.,2021/03/11 00:00:00+00,Main Break/Leak
-8480839.98407394,5319334.266803,65,405 Ulster St.,2021/03/14 00:00:00+00,Main Break/Leak
-8472256.42232287,5322744.32362712,66,N. Collingwood Ave. & Tyson Pl.,2021/03/17 00:00:00+00,Main Break/Leak
-8471404.42250731,5322490.88235766,67,3412 James St.,2021/03/17 00:00:00+00,Main Break/Leak
-8476865.98960242,5319585.42427876,68,150 Market St.,2021/03/18 00:00:00+00,Main Break/Leak
-8477153.79182587,5319637.9171558,69,128 E. Genesee St.,2021/03/18 00:00:00+00,Main Break/Leak
-8472742.10639935,5318264.22029634,70,210 Scottholm Terr.,2021/03/19 00:00:00+00,Main Break/Leak
-8476865.87410796,5319605.7022984,71,136 Market St.,2021/03/23 00:00:00+00,Main Break/Leak
-8472926.95588362,5316810.77375604,72,Westmoreland Ave. & Meadowbrook Ave.,2021/03/25 00:00:00+00,Main Break/Leak
-8477882.04201454,5315151.09797473,73,Elmhurst Ave. & Bishop Ave.,2021/03/26 00:00:00+00,Main Break/Leak
-8476774.41550635,5318907.59638303,74,251 Madison St.,2021/03/28 00:00:00+00,Main Break/Leak
-8478161.26716365,5323968.29294005,75,Hiawatha Blvd. & Forth North St.,2021/04/05 00:00:00+00,Main Break/Leak
-8472840.66930882,5320625.02557713,76,1719 Burnet Ave.,2021/04/06 00:00:00+00,Main Break/Leak
-8477225.43365342,5320356.26598304,77,315 N. Salina St.,2021/04/08 00:00:00+00,Main Break/Leak
-8476059.00006954,5314006.80385888,78,W. Matson Ave. & S. Salina St.,2021/04/10 00:00:00+00,Main Break/Leak
-8475479.04852238,5319356.65112894,79,S. Crouse Ave. & E. Fayette St.,2021/04/12 00:00:00+00,Main Break/Leak
-8478442.77738466,5322181.16032899,80,146 Bear St.,2021/04/17 00:00:00+00,Main Break/Leak
-8479235.00118809,5319286.25078442,81,787 Erie Blvd W.,2021/04/19 00:00:00+00,Main Break/Leak
-8478417.13021628,5323462.28267655,82,528 Hiawatha Blvd E.,2021/04/19 00:00:00+00,Main Break/Leak
-8473781.7200647,5320544.73910725,83,130 Vann St.,2021/04/19 00:00:00+00,Main Break/Leak
-8478193.90698879,5323524.99197343,84,707 Wolf St.,2021/04/20 00:00:00+00,Main Break/Leak
-8475741.03492633,5319686.71865864,85,910 Erie Blvd. E.,2021/04/21 00:00:00+00,Main Break/Leak
-8476687.40964153,5319082.71540684,86,555 S. State St.,2021/04/21 00:00:00+00,Main Break/Leak
-8478353.65834362,5323635.18951295,87,617 Hiawatha Blvd. E.,2021/04/23 00:00:00+00,Main Break/Leak
-8478499.21649849,5319467.25281984,88,615 Erie Blvd. W.,2021/04/26 00:00:00+00,Main Break/Leak
-8478353.65834362,5323635.18951295,89,617 Hiawatha Blvd. E.,2021/04/27 00:00:00+00,Main Break/Leak
-8478232.30473505,5317041.50460892,90,503 Bellvue Ave.,2021/04/28 00:00:00+00,Main Break/Leak
-8474975.35104874,5319751.85485174,91,Canal St. & Walnut Ave.,2021/04/28 00:00:00+00,Main Break/Leak
-8477974.33366948,5317873.02972871,92,127 South Ave.,2021/04/29 00:00:00+00,Main Break/Leak
-8474395.98803764,5319739.00999105,93,930 Canal St.,2021/04/30 00:00:00+00,Main Break/Leak
-8478238.12799989,5318185.36430369,94,Slocum Ave. & Kellogg St.,2021/05/01 00:00:00+00,Main Break/Leak
-8474243.97927473,5319469.02580499,95,105 Lombard Av.,2021/05/01 00:00:00+00,Main Break/Leak
-8475788.80486944,5320460.69739716,96,Wayne St. & Lodi St.,2021/05/04 00:00:00+00,Main Break/Leak
-8472618.12304461,5317928.72926743,97,241 Scottholm Terrace,2021/05/06 00:00:00+00,Main Break/Leak
-8474981.57304344,5319486.32137924,98,E. Washington St. & Walnut Ave.,2021/05/16 00:00:00+00,Main Break/Leak
-8474981.57304344,5319486.32137924,99,E. Washington St. & Walnut Ave.,2021/05/16 00:00:00+00,Main Break/Leak
-8478364.74727939,5317322.74350035,100,123-125 Palmer Ave.,2021/05/17 00:00:00+00,Main Break/Leak
-8481533.22046713,5316296.62318787,101,1930 Glenwood Ave.,2021/05/18 00:00:00+00,Main Break/Leak
-8473622.21015882,5321269.73809824,102,617 Hixon Ave.,2021/05/21 00:00:00+00,Main Break/Leak
-8470750.97143024,5322268.58947083,103,155 Ridgewood Dr.,2021/05/26 00:00:00+00,Main Break/Leak
-8470781.13464234,5322188.98521853,104,Ridgewood Dr. & Northcliffe Rd.,2021/05/26 00:00:00+00,Main Break/Leak
-8479576.08911904,5319015.21905844,105,1153 W. Fayette St.,2021/05/27 00:00:00+00,Main Break/Leak
-8473217.52256521,5319305.22040298,106,1938 E. Fayette St.,2021/05/28 00:00:00+00,Main Break/Leak
-8470308.19718671,5318666.13493172,107,223 DeForest Rd.,2021/06/15 00:00:00+00,Main Break/Leak
-8477914.76895841,5323592.23773391,108,Grant Blvd. & LeMoyne Ave.,2021/06/16 00:00:00+00,Main Break/Leak
-8472820.11012047,5317284.56157161,109,Montana St. & Cumberland Ave.,2021/06/17 00:00:00+00,Main Break/Leak
-8477605.32570612,5317263.09924669,110,465 Midland Ave.,2021/06/22 00:00:00+00,Main Break/Leak
-8477423.49720183,5322413.83773189,111,615 Kirkpatrick St.,2021/06/26 00:00:00+00,Main Break/Leak
-8473678.18170453,5316841.34128659,112,351 Kensington Rd.,2021/06/29 00:00:00+00,Main Break/Leak
-8479621.73057193,5315783.02368081,113,708 Stinard Ave.,2021/06/30 00:00:00+00,Main Break/Leak
-8474985.88137422,5318452.01277418,114,809 Walnut Ave.,2021/07/01 00:00:00+00,Main Break/Leak
-8477616.44599754,5315160.31449693,115,Hunt Av. & Elmhurst Ave.,2021/07/03 00:00:00+00,Main Break/Leak
-8478311.09993679,5319910.96024833,116,300 Park Ave.,2021/07/04 00:00:00+00,Main Break/Leak
-8476765.04046743,5320531.17831122,117,N. Townsend St. & Union Av.,2021/07/07 00:00:00+00,Main Break/Leak
-8474435.94296455,5319001.57439826,118,431 S. Beech St.,2021/07/10 00:00:00+00,Main Break/Leak
-8480447.85007778,5319179.88404918,119,Tennyson Ave. & S. Lowell Ave.,2021/07/14 00:00:00+00,Main Break/Leak
